Message_lang,Pos[0],Pos[1],Pos[2],ID,ContinentID,PhaseUseFlags,PhaseID,PhaseGroupID,Radius,Box_length,Box_width,Box_height,Box_yaw,ShapeType,ShapeID,AreaTriggerActionSetID,Flags
You must be at least level 20 to enter.,2924.38,-798.429,161.611,45,0,0,0,0,8,0,0,0,0,0,0,18440,0
,47.6135,-28.9462,-8.81759,60,24,0,0,0,7,0,0,0,0,0,0,18441,0
,-10645.9,1179.06,48.1781,71,0,0,0,0,27,0,0,0,0,0,0,18442,0
You must be at least level 10 to enter.,-11208.5,1685.34,25.7612,78,0,0,0,0,7,0,0,0,0,0,0,18443,0
,-259.24698,137.75117,36.568306,81,28,0,0,0,7,0,0,0,0,0,0,18444,0
,254.5694,-4.322051,6.486521,83,28,0,0,0,8,0,0,0,0,0,0,18445,0
,16449.9,16393.2,69.4444,84,0,0,0,0,15,0,0,0,0,0,0,18446,0
,-9077.34,-552.925,60.3476,87,0,0,0,0,30,0,0,0,0,0,0,18447,0
,-9843.54,127.525,5.3698,88,0,0,0,0,10,0,0,0,0,0,0,18448,0
,-409.82812,-802.7708,-13.246962,95,30,0,0,0,9,0,0,0,0,0,0,18449,0
,-5660.33,755.299,389.605,97,0,0,0,0,15,0,0,0,0,0,0,18450,0
,-11634.8,-54.0697,13.4439,98,0,0,0,0,30,0,0,0,0,0,0,18451,0
,2019.3494,1904.3594,105.14445,100,0,0,0,0,7,0,0,0,0,0,0,18452,0
You must be at least level 15 to enter.,-8761.85,848.557,87.8052,101,0,0,0,0,0,4.972,9.694,7.444,0.6632,1,0,18453,0
,-8667.56,623.563,85.4054,107,0,0,0,0,7,0,0,0,0,0,0,18454,0
,-0.90042,16.443,-14.236,109,35,0,0,0,7,0,0,0,0,0,0,18455,0
,-14.3628,-393.38,64.5605,119,36,0,0,0,6,0,0,0,0,0,0,18456,0
,-110.76,-1009.19,34.8044,121,36,0,0,0,7,0,0,0,0,0,0,18457,0
You must be at least level 10 to enter.,-229.49,1576.35,78.8909,145,0,0,0,0,7,0,0,0,0,0,0,18458,0
,-5584.2065,759.83215,384.29016,168,0,0,0,0,15,0,0,0,0,0,0,18459,0
,-5586.46,679.298,384.955,169,0,0,0,0,8,0,0,0,0,0,0,18460,0
,-5763.72,-3439.58,306.366,171,0,0,0,0,50,0,0,0,0,0,0,18461,0
,1058.11,1554.68,-15,173,0,0,0,0,90,0,0,0,0,0,0,18462,0
,-4086.36,-2610.95,46.0143,175,0,0,0,0,20,0,0,0,0,0,0,18463,0
,683.771,-912.144,174.5,178,0,0,0,0,5,0,0,0,0,0,0,18464,0
,-230.953,2105.06,79.7533,194,33,0,0,0,5,0,0,0,0,0,0,18465,0
,-12153.621,894.01373,9.538913,196,0,0,0,0,80,0,0,0,0,0,0,18466,0
,-9796.18,157.773,25.3878,197,0,0,0,0,9,0,0,0,0,0,0,18467,0
,-1895.78,-1109.04,86.183,205,1,0,0,0,15,0,0,0,0,0,0,18468,0
,90.1003,-1943.44,79.4727,216,1,0,0,0,9,0,0,0,0,0,0,18469,0
,10708.8,762.092,1321.37,217,1,0,0,0,14,0,0,0,0,0,0,18470,0
,9859.09,588.761,1300.61,218,1,0,0,0,14,0,0,0,0,0,0,18471,0
,9556.24,1654.77,1299.49,219,1,0,0,0,14,0,0,0,0,0,0,18472,0
,10675.2,1857.45,1324.17,220,1,0,0,0,10,0,0,0,0,0,0,18473,0
,4508.17,373.376,32.5125,223,1,0,0,0,40,0,0,0,0,0,0,18475,0
,4605.57,385.158,31.4827,224,1,0,0,0,25,0,0,0,0,0,0,18476,0
,4558.36,421.446,33.7425,225,1,0,0,0,50,0,0,0,0,0,0,18477,0
,-172.181,138.98,-66.6471,226,43,0,0,0,12,0,0,0,0,0,0,18478,0
You must be at least level 10 to enter.,-753.596,-2212.78,21.5403,228,1,0,0,0,13,0,0,0,0,0,0,18479,0
,6744.98,41.1164,47.6041,230,1,0,0,0,13,0,0,0,0,0,0,18480,0
,5996.56,365.21,21.8661,231,1,0,0,0,40,0,0,0,0,0,0,18481,0
,5980.17,330.669,21.7655,232,1,0,0,0,40,0,0,0,0,0,0,18482,0
,4916.99,328.43,36.7678,233,1,0,0,0,50,0,0,0,0,0,0,18483,0
,4641.19,55.3801,66.6307,234,1,0,0,0,60,0,0,0,0,0,0,18484,0
,4554.65,146.354,59.5027,235,1,0,0,0,70,0,0,0,0,0,0,18485,0
,4643.38,145.349,57.9047,236,1,0,0,0,50,0,0,0,0,0,0,18486,0
,4504.31,32.3296,86.4913,237,1,0,0,0,80,0,0,0,0,0,0,18487,0
,6876.28,-486.029,40.1436,238,1,0,0,0,65,0,0,0,0,0,0,18488,0
,3469.43,847.62,5.36476,239,1,0,0,0,12,0,0,0,0,0,0,18489,0
,1936.39,1534.47,86.8769,242,47,0,0,0,8,0,0,0,0,0,0,18490,0
You must be at least level 15 to enter.,-4456.7,-1655.99,86.1095,244,1,0,0,0,8,0,0,0,0,0,0,18491,0
